country,year,population,total_cases,total_deaths,total_vaccinations,total_tests,cases_per_100k,deaths_per_100k,covid_burden_index,burden_scaled,Country Code,gdp_per_capita,unemployment_rate,health_expenditure_pct_gdp,vaccinations_per_100k,cases_outlier,deaths_outlier,fatality_rate,risk_level,vaccinations_per_10k,deaths_per_10k
Comoros,2022,834191.0,8985.0,161.0,835021.0,100289.0,1077.0914574719698,19.30013629972033,1096.3915937716902,6.5397492900306995,COM,1465.479642862,3.816,8.3803854,100099.49759707309,False,False,0.017918753478018922,,10009.949759707308,1.930013629972033
Costa Rica,2020,5081764.0,166799.0,2156.0,55.0,427761.0,3282.30512082025,42.42621263010246,3324.7313334503524,19.863535575441908,CRI,12394.0493969492,16.432,7.82545757,1.0823013426046546,False,False,0.012925736964849908,,0.10823013426046546,4.242621263010246
Costa Rica,2021,5081764.0,570960.0,7354.0,7756348.0,2266262.0,11235.468628610066,144.7135286093569,11380.182157219422,67.99166588609782,CRI,12838.1185358931,15.139,7.61130476,152631.01552925323,False,False,0.012880061650553453,,15263.101552925322,14.47135286093569
Costa Rica,2022,5081764.0,1166842.0,9085.0,12606343.0,3677525.0,22961.357512863644,178.77650359205975,23140.134016455704,138.4832510915501,CRI,13625.9008491328,11.325,7.18368196,248070.21734972342,False,False,0.007785972736668718,,24807.021734972343,17.877650359205976
Croatia,2020,3907031.0,208446.0,3860.0,7864.0,1019109.0,5335.150911267405,98.7962470735451,5433.9471583409495,32.406090455898614,HRV,14807.5608543265,7.507,7.64949179,201.27815725035197,False,False,0.018517985473455956,,20.127815725035198,9.87962470735451
Croatia,2021,3907031.0,709678.0,12493.0,4729751.0,3757416.0,18164.125137476512,319.75686909062154,18483.882006567135,110.26377830122155,HRV,17788.7865816658,7.608,8.01351929,121057.42186330233,False,False,0.017603758324197735,,12105.742186330233,31.975686909062155
Croatia,2022,3907031.0,1263517.0,17583.0,5354058.0,4922712.0,32339.569355861266,450.034821837861,32789.604177699126,195.83755542251905,HRV,18465.5414420364,6.96,7.21545315,137036.48627308052,False,True,0.013915918820245395,,13703.648627308052,45.0034821837861
Cyprus,2021,1331376.0,161779.0,646.0,1541159.0,19402172.0,12151.263054163512,48.52122916441336,12199.784283327925,73.10166324163873,CYP,32937.83984375,7.513,9.47552109,115756.85606470298,False,False,0.003993101700467922,,11575.685606470299,4.852122916441337
Cyprus,2022,1331376.0,631111.0,1258.0,1797542.0,29501771.0,47402.91247551405,94.48870942543654,47497.40118493949,284.7954296907861,CYP,33231.04296875,6.806,8.87060547,135013.85033228778,True,False,0.0019933102100898256,,13501.385033228778,9.448870942543653
Czechia,2020,10673216.0,723577.0,11888.0,11879.0,4224539.0,6779.371840689817,111.38161169042208,6890.753452380239,41.12175749090059,CZE,23472.8915454417,2.55,9.15721989,111.29728846488256,False,False,0.016429488499496252,,11.129728846488256,11.138161169042208
Czechia,2021,10673216.0,2517380.0,36332.0,15499506.0,47161361.0,23585.955723185965,340.40349225575494,23926.35921544172,142.8773483081388,CZE,27696.4619527544,2.803,9.45247459,145218.70446545823,False,False,0.014432465499845077,,14521.870446545821,34.0403492255755
Czechia,2022,10673216.0,4580135.0,42152.0,18601404.0,54587458.0,42912.41740071596,394.93251143797704,43307.349912153935,259.05423445004766,CZE,28282.2236715857,2.224,8.79904652,174281.15387152287,True,False,0.009203222175765562,,17428.115387152287,39.49325114379771
